latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
9.647,-63.556,350.1,2.4,1.5,2021-02-22,0305,T,100,6.0NRT,289.8,215.8,N
9.644,-63.577,339.9,2.3,1.5,2021-02-22,0305,T,100,6.0NRT,288.9,147.4,N
9.626,-63.725,306,2.3,1.5,2021-02-22,0305,T,66,6.0NRT,269.5,30.1,N
9.66,-63.558,305.5,2.4,1.5,2021-02-22,0305,T,65,6.0NRT,288.6,20.9,N
9.658,-63.579,306,2.3,1.5,2021-02-22,0305,T,66,6.0NRT,288.3,22.2,N
9.652,-63.621,341.9,2.3,1.5,2021-02-22,0305,T,100,6.0NRT,285.9,160.4,N
9.65,-63.642,322.1,2.3,1.5,2021-02-22,0305,T,100,6.0NRT,281.6,70,N
9.656,-63.564,321.9,2.4,1.5,2021-02-22,0305,T,100,6.0NRT,289.1,63.9,N
9.649,-63.627,337.9,2.3,1.5,2021-02-22,0305,T,100,6.0NRT,284.9,136.6,N
8.427,-73.488,309.4,1.3,1.1,2021-02-22,0305,T,52,6.0NRT,286.9,16.8,N
8.437,-73.489,310.5,1.3,1.1,2021-02-22,0305,T,52,6.0NRT,285.5,17.2,N
8.435,-73.502,304.6,1.3,1.1,2021-02-22,0305,T,23,6.0NRT,288,10.1,N
9.523,-67.237,306.7,1.3,1.1,2021-02-22,0305,T,69,6.0NRT,292.9,8.2,N
9.51,-67.329,307.1,1.3,1.1,2021-02-22,0305,T,70,6.0NRT,293,7.8,N
9.571,-67.413,304.7,1.2,1.1,2021-02-22,0305,T,61,6.0NRT,292.2,6,N
9.395,-68.917,303.5,1.1,1,2021-02-22,0305,T,55,6.0NRT,292.3,4.4,N
9.614,-67.704,303.4,1.2,1.1,2021-02-22,0305,T,27,6.0NRT,292.2,5.1,N
10.053,-64.865,314.2,1.9,1.3,2021-02-22,0305,T,89,6.0NRT,287.7,29.8,N
10.065,-64.866,308.3,1.9,1.3,2021-02-22,0305,T,74,6.0NRT,286.7,18.8,N
10.063,-64.883,303.4,1.9,1.3,2021-02-22,0305,T,21,6.0NRT,288.3,11.4,N
10.06,-64.855,302.7,1.9,1.3,2021-02-22,0305,T,51,6.0NRT,286.6,11.1,N
10.057,-64.872,325.4,1.9,1.3,2021-02-22,0305,T,100,6.0NRT,288.5,58.2,N
9.619,-68.345,308.2,1.1,1.1,2021-02-22,0305,T,74,6.0NRT,292.4,8.1,N
9.629,-68.347,307.9,1.1,1.1,2021-02-22,0305,T,61,6.0NRT,291.4,8.1,N
10.247,-72.546,304,1.1,1.1,2021-02-22,0305,T,58,6.0NRT,293.6,4.9,N
19.279,-71.856,302,1,1,2021-02-22,0305,T,46,6.0NRT,288.8,5.5,N
20.264,-77.025,301.6,1.5,1.2,2021-02-22,0305,T,43,6.0NRT,291.2,6.5,N
20.571,-76.342,313.1,1.3,1.1,2021-02-22,0305,T,86,6.0NRT,290.8,17.8,N
20.569,-76.355,301.1,1.3,1.1,2021-02-22,0305,T,37,6.0NRT,290.9,5.8,N
20.621,-76.345,308.6,1.3,1.1,2021-02-22,0305,T,75,6.0NRT,291.3,13,N
20.619,-76.358,301.7,1.3,1.1,2021-02-22,0305,T,44,6.0NRT,291.3,6.7,N
1.561,-74.141,300.7,1.9,1.3,2021-02-22,0300,T,32,6.0NRT,282.6,10.4,N
2.087,-73.042,305.3,1.5,1.2,2021-02-22,0300,T,64,6.0NRT,285,11.7,N
2.085,-73.056,301.4,1.5,1.2,2021-02-22,0300,T,40,6.0NRT,286.4,7.4,N
2.21,-72.416,306.8,1.4,1.2,2021-02-22,0300,T,69,6.0NRT,287.4,10.1,N
2.236,-72.501,312.4,1.4,1.2,2021-02-22,0300,T,85,6.0NRT,289.4,18,N
2.245,-72.913,305.1,1.5,1.2,2021-02-22,0300,T,63,6.0NRT,288.7,10.6,N
2.256,-72.915,301.6,1.5,1.2,2021-02-22,0300,T,43,6.0NRT,288.5,6.7,N
2.491,-74.259,300.5,1.9,1.3,2021-02-22,0300,T,27,6.0NRT,285.4,9.9,N
3.64,-70.305,324,1,1,2021-02-22,0300,T,100,6.0NRT,288.7,22.4,N
4.259,-70.609,316.3,1.1,1,2021-02-22,0300,T,93,6.0NRT,293.8,13.1,N
4.258,-70.619,332.7,1.1,1,2021-02-22,0300,T,100,6.0NRT,294.9,32.8,N
4.256,-70.628,316.4,1.1,1,2021-02-22,0300,T,93,6.0NRT,294.1,13.3,N
4.791,-69.857,312,1,1,2021-02-22,0300,T,84,6.0NRT,290.3,10.1,N
4.789,-69.866,308.1,1,1,2021-02-22,0300,T,73,6.0NRT,290.6,7.2,N
4.986,-69.581,305.9,1,1,2021-02-22,0300,T,66,6.0NRT,288.1,5.1,N
4.773,-71.072,304,1.1,1,2021-02-22,0300,T,47,6.0NRT,291,4.6,N
4.771,-71.081,317.3,1.1,1,2021-02-22,0300,T,95,6.0NRT,291.8,15.6,N
4.995,-69.582,332.5,1,1,2021-02-22,0300,T,100,6.0NRT,287.8,30.7,N
4.781,-71.083,305.9,1.1,1,2021-02-22,0300,T,66,6.0NRT,291.3,6.1,N
5.38,-70.496,305.8,1,1,2021-02-22,0300,T,66,6.0NRT,291.6,5.7,N
5.389,-70.497,308.6,1,1,2021-02-22,0300,T,75,6.0NRT,291.4,7.8,N
5.567,-70.922,302.1,1.1,1,2021-02-22,0300,T,47,6.0NRT,290.4,4.4,N
6.169,-67.371,304.9,1.1,1.1,2021-02-22,0300,T,58,6.0NRT,293.1,4.5,N
6.032,-68.822,308.1,1,1,2021-02-22,0300,T,72,6.0NRT,295.8,4.9,N
5.885,-70.182,307.7,1,1,2021-02-22,0300,T,66,6.0NRT,291.9,6.2,N
5.884,-70.191,360.8,1,1,2021-02-22,0300,T,100,6.0NRT,295.1,88.5,N
5.883,-70.2,305.9,1,1,2021-02-22,0300,T,33,6.0NRT,292.1,4.9,N
5.893,-70.192,307.4,1,1,2021-02-22,0300,T,60,6.0NRT,291.8,6.1,N
5.998,-69.91,306,1,1,2021-02-22,0300,T,66,6.0NRT,285.6,6.4,N
6.21,-68.931,305.4,1,1,2021-02-22,0300,T,63,6.0NRT,294.8,4.7,N
6.477,-67.349,305.6,1.2,1.1,2021-02-22,0300,T,63,6.0NRT,294.5,5.8,N
6.404,-68.009,310.3,1.1,1,2021-02-22,0300,T,78,6.0NRT,295.8,7.9,N
6.403,-68.019,307.8,1.1,1,2021-02-22,0300,T,70,6.0NRT,295.6,5.8,N
6.505,-67.881,311.1,1.1,1,2021-02-22,0300,T,81,6.0NRT,295.7,8.9,N
6.631,-67.278,305.8,1.2,1.1,2021-02-22,0300,T,45,6.0NRT,295.5,5.3,N
6.69,-69.707,300.9,1,1,2021-02-22,0300,T,36,6.0NRT,290.2,3.5,N
7.073,-68.812,301.3,1,1,2021-02-22,0300,T,40,6.0NRT,288.6,4.4,N
7.179,-68.578,301.3,1,1,2021-02-22,0300,T,30,6.0NRT,285.5,4.8,N
7.392,-68.505,302.3,1.1,1,2021-02-22,0300,T,48,6.0NRT,290.2,4.4,N
7.451,-68.806,302.2,1,1,2021-02-22,0300,T,47,6.0NRT,290.7,4.6,N
7.587,-68.42,305.8,1.1,1,2021-02-22,0300,T,66,6.0NRT,292.4,6.1,N
7.922,-66.254,304.9,1.4,1.2,2021-02-22,0300,T,62,6.0NRT,291.9,7.4,N
8.074,-66.172,304.6,1.4,1.2,2021-02-22,0300,T,61,6.0NRT,292.9,7,N
8.147,-65.862,311.6,1.5,1.2,2021-02-22,0300,T,83,6.0NRT,282.4,18.9,N
8.146,-65.875,315.8,1.5,1.2,2021-02-22,0300,T,92,6.0NRT,281.4,25.1,N
8.204,-65.773,300.1,1.5,1.2,2021-02-22,0300,T,16,6.0NRT,284.8,5.7,N
8.207,-65.765,300.4,1.5,1.2,2021-02-22,0300,T,26,6.0NRT,285.2,6.3,N
8.262,-65.772,300.2,1.5,1.2,2021-02-22,0300,T,21,6.0NRT,285.9,5.5,N
7.254,-73.751,307.8,1.4,1.2,2021-02-22,0300,T,73,6.0NRT,292.4,10.2,N
7.261,-73.745,315,1.4,1.2,2021-02-22,0300,T,90,6.0NRT,292.4,19.3,N
7.259,-73.758,306.6,1.4,1.2,2021-02-22,0300,T,64,6.0NRT,292.2,9,N
8.936,-63.819,306.3,2.2,1.4,2021-02-22,0300,T,68,6.0NRT,275.5,27.6,N
8.765,-66.406,302.8,1.4,1.2,2021-02-22,0300,T,11,6.0NRT,292,5.3,N
8.693,-67.408,304.1,1.2,1.1,2021-02-22,0300,T,58,6.0NRT,292.9,4.6,N
8.811,-66.756,312.8,1.3,1.1,2021-02-22,0300,T,86,6.0NRT,294.3,14.5,N
51.488,6.728,300.1,1.9,1.4,2021-02-22,0225,A,16,6.0NRT,280.3,19.5,N
39.954,116.911,300.3,2.1,1.4,2021-02-22,0340,T,33,6.0NRT,287.1,8,D
39.979,114.89,304.1,1.6,1.2,2021-02-22,0340,T,58,6.0NRT,285.9,9.2,D
39.975,114.901,301.9,1.6,1.2,2021-02-22,0340,T,15,6.0NRT,286.3,7,D
40.883,108.385,303.9,1,1,2021-02-22,0340,T,57,6.0NRT,286.9,5.1,D
40.62,109.748,304.3,1,1,2021-02-22,0340,T,49,6.0NRT,287.4,4.9,D
40.618,109.76,305.9,1,1,2021-02-22,0340,T,59,6.0NRT,286.2,5.9,D
40.49,110.522,300.6,1,1,2021-02-22,0340,T,39,6.0NRT,283.7,4.7,D
40.862,107.224,317.1,1.1,1,2021-02-22,0340,T,77,6.0NRT,284.3,17.7,D
40.861,107.237,305.7,1.1,1,2021-02-22,0340,T,62,6.0NRT,283.3,8.1,D
39.456,112.916,303.1,1.3,1.1,2021-02-22,0340,T,52,6.0NRT,286.3,5.9,D
39.257,110.17,301.9,1,1,2021-02-22,0340,T,44,6.0NRT,287.2,2.7,D
38.916,106.439,305,1.1,1,2021-02-22,0340,T,49,6.0NRT,287.8,4.6,D
37.126,111.939,300.9,1.3,1.1,2021-02-22,0340,T,34,6.0NRT,284.3,4.6,D
36.669,114.042,304.4,1.7,1.3,2021-02-22,0340,T,59,6.0NRT,281.9,11.9,D
36.671,114.036,304.6,1.7,1.3,2021-02-22,0340,T,59,6.0NRT,281.9,12.8,D
35.886,114.284,303.4,1.8,1.3,2021-02-22,0340,T,52,6.0NRT,285.3,12.1,D
35.628,110.573,300.9,1.2,1.1,2021-02-22,0340,T,31,6.0NRT,282.9,5.7,D
34.813,114.534,304.1,2,1.4,2021-02-22,0340,T,58,6.0NRT,286.7,15.1,D
